amount,result,time
460,-1.52789e-28,1e-06
461,0.327939,6.6e-05
462,5.61921e-43,1e-06
463,0,1e-06
464,0.322481,4.5e-05
465,0,1e-06
466,3.14031e-42,1e-06
467,0,1e-06
469,0.31883,4.7e-05
470,4.72238e-43,1e-06
472,0.313506,4.6e-05
473,0.601589,1e-06
475,0,1e-06
476,-1.52788e-28,1e-06
477,0.309927,4.8e-05
480,0.304737,4.6e-05
481,0.596486,1e-06
482,3.05063e-42,1e-06
483,0,1e-06
484,-1.52788e-28,1e-06
485,0.301232,4.8e-05
486,2.92871e-43,1e-06
487,0,1e-06
488,0.296174,4.8e-05
489,0.589526,1e-06
490,3.00579e-42,1e-06
491,0,1e-06
492,-1.52787e-28,1e-06
493,0.29274,5.1e-05
494,2.03188e-43,1e-06
495,0,1e-06
496,0.287812,5e-05
497,0.582606,1e-06
498,2.96094e-42,1e-06
499,0,2e-06
500,-1.52787e-28,1e-06
501,0.284452,6e-05
502,1.13505e-43,1e-06
503,0,1e-06
504,0.279649,7.1e-05
505,1.70511e-40,1e-06
506,2.9161e-42,1e-06
507,0,1e-06
508,-1.52787e-28,2e-06
509,0.276359,5.9e-05
510,-1.52783e-28,1e-06
511,0,1e-06
512,0.271681,6.4e-05
513,7.38344e-42,1e-06
514,2.87126e-42,1e-06
515,0,2e-06
516,-1.52798e-28,1e-06
517,7.38344e-42,2e-06
518,2.84884e-42,1e-06
519,0,1e-06
520,-1.52798e-28,1e-06
521,7.38344e-42,1e-06
522,2.82642e-42,1e-06
523,0,1e-06
524,-1.52798e-28,1e-06
525,7.38344e-42,1e-06
526,2.804e-42,1e-06
527,0,1e-06
528,-1.52798e-28,1e-06
529,7.38344e-42,1e-06
530,2.78158e-42,1e-06
531,0,1e-06
532,-1.52798e-28,1e-06
533,7.38344e-42,1e-06
534,2.75916e-42,1e-06
535,0,1e-06
537,3.07683e-41,1e-06
538,2.73674e-42,1e-06
540,-1.52798e-28,1e-06
541,7.38344e-42,1e-06
542,2.71432e-42,1e-06
543,0,1e-06
545,7.38344e-42,1e-06
546,2.69189e-42,1e-06
547,0,1e-06
548,-1.52798e-28,1e-06
551,0,1e-06
553,7.38344e-42,1e-06
555,0,1e-06
556,-1.52798e-28,1e-06
557,7.38344e-42,1e-06
558,2.62463e-42,1e-06
559,0,1e-06
560,-1.52798e-28,1e-06
561,7.38344e-42,1e-06
562,2.60221e-42,1e-06
