amount,result,time
42100,0,1e-06
42200,0,2e-06
42300,0,1e-06
42400,0,0
42500,6072,0.0082
42600,0,2e-06
42700,0,2e-06
42800,6115,0.008662
42900,0,1e-06
43000,0,1e-06
43100,6158,0.009257
43200,0,2e-06
43300,6186,0.008315
43400,0,1e-06
43500,0,1e-06
43600,6229,0.010127
43700,0,1e-06
43800,0,1e-06
43900,6272,0.010759
44000,0,2e-06
44100,0,1e-06
44200,0,2e-06
44300,0,2e-06
44400,0,2e-06
44500,0,1e-06
44600,6372,0.011028
44700,0,3e-06
44800,0,3e-06
44900,6415,0.01172
45000,0,2e-06
45100,0,2e-06
45200,0,2e-06
45300,0,1e-06
45400,0,2e-06
45500,0,2e-06
45600,6515,0.011515
45700,0,2e-06
45800,0,1e-06
45900,6558,0.012199
46000,0,3e-06
46100,0,2e-06
46200,0,2e-06
46300,0,1e-06
46400,0,2e-06
46500,0,3e-06
46600,6658,0.011854
46700,0,2e-06
46800,0,1e-06
46900,6700,0.011446
47000,0,1e-06
47100,0,5e-06
47200,0,2e-06
47300,0,1e-06
47400,0,1e-06
47500,0,4e-06
47600,6800,0.01231
47700,0,1e-06
47800,0,1e-06
47900,6843,0.0122
48000,0,3e-06
48100,0,1e-06
48200,6886,0.01243
48300,0,2e-06
48400,6915,0.013716
48500,0,1e-06
48600,0,1e-06
48700,6958,0.01031
48800,0,1e-06
48900,0,2e-06
49000,7000,0.010326
49100,0,1e-06
49200,0,1e-06
49300,0,2e-06
49400,0,2e-06
49500,0,2e-06
49600,0,1e-06
49700,7100,0.010183
49800,0,2e-06
49900,0,1e-06
50000,7143,0.010873
50100,0,2e-06
50200,0,2e-06
50300,0,2e-06
50400,0,2e-06
50500,0,1e-06
50600,0,1e-06
50700,7243,0.01095
50800,0,1e-06
50900,0,1e-06
51000,7286,0.011277
51100,0,1e-06
51200,0,2e-06
51300,0,2e-06
51400,3817,2e-06
51500,0,1e-06
51600,0,2e-06
51700,7386,0.009488
51800,0,2e-06
51900,0,1e-06
52000,7429,0.010263
52100,0,1e-06
52200,0,1e-06
52300,7472,0.009768
52400,0,2e-06
52500,7500,0.009941
52600,0,1e-06
52700,0,1e-06
52800,7543,0.010736
52900,0,1e-06
53000,0,1e-06
53100,7586,0.009983
53200,0,2e-06
53300,0,3e-06
53400,0,1e-06
53500,0,1e-06
53600,0,2e-06
53700,0,1e-06
53800,7686,0.010591
53900,0,1e-06
54000,0,1e-06
54100,7729,0.009718
54200,0,1e-06
54300,0,2e-06
54400,0,1e-06
54500,0,1e-06
54600,0,1e-06
54700,0,1e-06
54800,7829,0.010447
54900,0,1e-06
55000,0,1e-06
55100,7872,0.010688
55200,0,1e-06
55300,0,1e-06
55400,0,1e-06
55500,0,1e-06
55600,0,2e-06
55700,0,1e-06
55800,7972,0.010637
55900,0,1e-06
56000,0,1e-06
56100,8015,0.010306
56200,0,3e-06
56300,0,1e-06
56400,8058,0.010498
56500,0,1e-06
56600,8086,0.010346
56700,0,1e-06
56800,0,0
56900,8129,0.009652
57000,0,1e-06
57100,0,1e-06
57200,8172,0.011236
57300,0,1e-06
57400,0,1e-06
57500,0,1e-06
57600,0,1e-06
57700,0,1e-06
57800,0,1e-06
57900,8272,0.009214
58000,0,2e-06
58100,0,1e-06
58200,8315,0.010646
58300,0,2e-06
58400,0,1e-06
58500,0,1e-06
58600,0,1e-06
58700,0,1e-06
58800,0,1e-06
58900,8415,0.009653
59000,0,1e-06
59100,0,1e-06
59200,8458,0.011217
59300,0,3e-06
59400,0,2e-06
59500,0,2e-06
59600,0,2e-06
59700,0,1e-06
59800,0,1e-06
59900,8558,0.009341
60000,0,2e-06
60100,0,1e-06
60200,8600,0.010836
60300,0,1e-06
60400,0,1e-06
60500,8643,0.010819
60600,0,0
60700,8672,0.009975
60800,0,2e-06
60900,0,1e-06
61000,8715,0.010333
61100,0,2e-06
61200,0,2e-06
61300,8758,0.01114
61400,0,1e-06
61500,0,1e-06
61600,0,1e-06
61700,0,1e-06
61800,0,1e-06
61900,0,2e-06
62000,8858,0.011364
62100,0,2e-06
62200,0,1e-06
62300,8900,0.01129
62400,0,1e-06
62500,0,1e-06
62600,0,1e-06
62700,0,1e-06
62800,0,0
62900,0,1e-06
63000,9000,0.012041
63100,0,2e-06
63200,0,1e-06
63300,9043,0.011785
63400,0,1e-06
63500,0,1e-06
63600,0,1e-06
63700,0,1e-06
63800,0,1e-06
63900,0,1e-06
64000,9143,0.011882
64100,0,1e-06
64200,0,1e-06
64300,9186,0.011304
64400,0,1e-06
64500,0,1e-06
64600,9229,0.010687
64700,0,0
64800,9258,0.010065
64900,0,1e-06
65000,0,0
65100,9300,0.009684
65200,0,2e-06
65300,0,1e-06
65400,9343,0.009919
65500,0,1e-06
65600,0,2e-06
65700,0,1e-06
65800,0,1e-06
65900,0,1e-06
66000,0,2e-06
66100,9443,0.010082
66200,0,0
66300,0,1e-06
66400,9486,0.011349
66500,0,1e-06
66600,0,1e-06
66700,0,1e-06
66800,0,1e-06
66900,0,1e-06
67000,0,1e-06
67100,9586,0.01334
67200,0,1e-06
67300,0,1e-06
67400,9629,0.013272
67500,0,2e-06
67600,0,1e-06
67700,0,1e-06
67800,0,1e-06
67900,0,1e-06
68000,0,0
68100,9729,0.014085
68200,0,1e-06
68300,0,0
68400,9772,0.013858
68500,0,1e-06
68600,0,1e-06
68700,9815,0.012754
68800,0,1e-06
68900,9843,0.010507
69000,0,1e-06
69100,0,1e-06
69200,9886,0.011174
69300,0,2e-06
69400,0,1e-06
69500,9929,0.012059
69600,0,1e-06
69700,0,1e-06
69800,0,1e-06
69900,0,1e-06
70000,0,1e-06
70100,0,2e-06
70200,10029,0.011068
70300,0,1e-06
70400,0,1e-06
70500,10072,0.012073
70600,0,1e-06
70700,0,1e-06
70800,0,1e-06
70900,0,1e-06
71000,0,1e-06
71100,0,0
71200,10172,0.01157
71300,0,1e-06
71400,0,0
71500,10215,0.011433
71600,0,1e-06
71700,0,1e-06
71800,0,1e-06
71900,0,1e-06
72000,0,1e-06
72100,0,1e-06
72200,10315,0.011399
72300,0,2e-06
72400,0,1e-06
72500,10358,0.011308
72600,0,1e-06
72700,0,4e-06
72800,0,2e-06
72900,0,2e-06
73000,0,1e-06
73100,0,2e-06
73200,10458,0.011269
73300,0,1e-06
73400,0,1e-06
73500,10500,0.011529
73600,0,1e-06
73700,0,0
73800,10543,0.011535
73900,0,1e-06
74000,10572,0.011116
74100,0,1e-06
74200,0,1e-06
74300,10615,0.011294
74400,0,1e-06
74500,0,0
74600,10658,0.010386
74700,0,1e-06
74800,0,0
74900,0,1e-06
75000,0,2e-06
75100,0,1e-06
75200,0,1e-06
75300,10758,0.011623
75400,0,1e-06
75500,0,1e-06
75600,10800,0.012229
75700,0,2e-06
75800,0,0
75900,0,1e-06
76000,0,1e-06
76100,0,0
76200,0,1e-06
76300,10900,0.01264
76400,0,2e-06
76500,0,1e-06
76600,10943,0.012693
76700,0,0
76800,0,1e-06
76900,0,1e-06
77000,0,1e-06
77100,0,1e-06
77200,0,1e-06
77300,11043,0.012456
77400,0,1e-06
77500,0,1e-06
77600,11086,0.011796
77700,0,1e-06
77800,0,1e-06
77900,11129,0.011056
78000,0,1e-06
78100,11158,0.011787
78200,0,1e-06
78300,0,2e-06
78400,11200,0.012036
78500,0,2e-06
78600,0,1e-06
78700,11243,0.011213
78800,0,1e-06
78900,0,1e-06
79000,0,1e-06
79100,0,1e-06
79200,0,1e-06
79300,0,1e-06
79400,11343,0.010702
79500,0,1e-06
79600,0,0
79700,11386,0.010342
79800,0,1e-06
79900,0,1e-06
80000,0,1e-06
80100,0,1e-06
80200,0,1e-06
80300,0,0
80400,11486,0.012769
80500,0,2e-06
80600,0,1e-06
80700,11529,0.011313
80800,0,1e-06
80900,0,1e-06
81000,0,1e-06
81100,0,1e-06
81200,0,1e-06
81300,0,1e-06
81400,11629,0.013013
81500,0,1e-06
81600,0,1e-06
81700,11672,0.011677
81800,0,2e-06
81900,0,2e-06
82000,11715,0.011458
82100,0,0
82200,11743,0.012429
82300,0,0
82400,0,1e-06
82500,11786,0.012169
82600,0,1e-06
82700,0,1e-06
82800,11829,0.01178
82900,0,0
83000,0,1e-06
83100,0,1e-06
83200,0,0
83300,0,0
83400,0,0
83500,11929,0.013227
83600,0,1e-06
83700,0,1e-06
83800,11972,0.011178
83900,0,1e-06
